country_of_origin,species,processing_method,cupper_points,YumScore
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.5,0.825
Mexico,Arabica,Washed / Wet,7.75,0.82075
Mexico,Arabica,Washed / Wet,7.67,0.8210000000000001
Mexico,Arabica,Washed / Wet,7.67,0.82075
Colombia,Arabica,Washed / Wet,7.25,0.81875
Mexico,Arabica,Washed / Wet,7.58,0.82075
Colombia,Arabica,Washed / Wet,7.5,0.8230000000000001
Mexico,Arabica,Washed / Wet,7.58,0.8230000000000001
Brazil,Arabica,Natural / Dry,7.5,0.825
Brazil,Arabica,Natural / Dry,7.67,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.5,0.82925
Brazil,Arabica,Semi-washed / Semi-pulped,7.58,0.825
Brazil,Arabica,,7.42,0.825
El Salvador,Arabica,,7.58,0.8105
Ethiopia,Arabica,,7.92,0.8227499999999999
Colombia,Arabica,Washed / Wet,7.5,0.825
Colombia,Arabica,Washed / Wet,7.17,0.83125
Brazil,Arabica,Pulped natural / honey,7.58,0.82075
Brazil,Arabica,Natural / Dry,7.92,0.81875
Taiwan,Arabica,Natural / Dry,7.75,0.81875
Brazil,Arabica,Natural / Dry,7.5,0.8210000000000001
Brazil,Arabica,Washed / Wet,7.67,0.82075
Costa Rica,Arabica,Washed / Wet,7.5,0.8185
United States (Hawaii),Arabica,Natural / Dry,7.58,0.8227499999999999
Taiwan,Arabica,Other,7.58,0.825
United States (Hawaii),Arabica,Natural / Dry,7.5,0.8352499999999999
Mexico,Arabica,Washed / Wet,7.5,0.8230000000000001
